업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
휴게음식점,2014-08-21,스타벅스커피 도곡역점,서울특별시 강남구 남부순환로 2909  지상1층 103 104 105호 (대치동),서울특별시 강남구 대치동 651번지  ,223.9,02  -3015-1180,2014-08-21,6280,135-838,2014-08-21,커피숍
휴게음식점,2014-08-21,명품김밥,서울특별시 강남구 논현로115길 7  C동 지상1층 (논현동),서울특별시 강남구 논현동 191번지 6호 지상1층 C동 ,15,--,2014-08-21,6122,135-826,2014-08-21,일반조리판매
휴게음식점,2014-08-25,누들킹(신논현역점),서울특별시 강남구 봉은사로 지하 102  지하2층 4-2호 (논현동  9호선 신논현역),서울특별시 강남구 논현동 279번지 165호 9호선신논현역 ,48.5,010 -6263-4206,2016-02-05, ,135-010,2014-08-25,패스트푸드
휴게음식점,2014-08-26,이디야 개포역점,서울특별시 강남구 개포로82길 11  지상1층 108 109호 (개포동),서울특별시 강남구 개포동 186번지 3호  ,102.91,010 -5291-4478,2014-08-26,6329,135-994,2014-08-26,커피숍
휴게음식점,2014-08-26,GS도곡롯데점,서울특별시 강남구 도곡로14길 7  지상1층 (도곡동),서울특별시 강남구 도곡동 547번지  ,6,02  -576 -0662,2014-08-26,6263,135-858,2014-08-26,편의점
휴게음식점,2014-08-26,설빙,서울특별시 강남구 압구정로79길 35  지상2층 (청담동),서울특별시 강남구 청담동 123번지 44호  ,170.93,070 -7807-4541,2014-08-26,6012,135-955,2014-08-26,커피숍
휴게음식점,2014-08-26,큐브PC방,서울특별시 강남구 압구정로28길 28  지하1층 (신사동),서울특별시 강남구 신사동 576번지 7호  ,7.03,0109-1459-166,2014-08-26,6030,135-891,2014-08-26,기타 휴게음식점
휴게음식점,2014-08-27,지에스대치삼성,서울특별시 강남구 테헤란로98길 8  지상1층 (대치동  코스모대치),서울특별시 강남구 대치동 945번지 10호 코스모대치 지상1층 ,3.3,--,2014-08-27,6181,135-846,2014-08-27,편의점
휴게음식점,2014-08-27,파파이스 세곡점,서울특별시 강남구 자곡로 201  1층 117 118 119 120호 (자곡동  강남더샵라르고),서울특별시 강남구 자곡동 596번지 강남더샵라르고 117 118 119 120호 ,126,010 -5380-6208,2014-08-27,6372,135-200,2014-08-27,패스트푸드
휴게음식점,2014-08-27,지에스25 대치사랑,서울특별시 강남구 역삼로77길 7  지상1층 101호 (대치동),서울특별시 강남구 대치동 904번지 19호  ,3.3,010 -6351-6042,2014-08-27,6196,135-841,2014-08-27,편의점
