업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
위탁급식영업,2016-01-04,씨제이프레시웨이(주),서울특별시 강남구 삼성로 342  지하1층 (대치동  세정빌딩),서울특별시 강남구 대치동 962번지 1호  ,257.3,02  -563 -1526,2016-10-28,6186,135-848,2016-01-04,위탁급식영업
위탁급식영업,2016-01-07,아라마크(주)씨앤엠본사,서울특별시 강남구 테헤란로103길 9  지하1층 (삼성동),서울특별시 강남구 삼성동 168번지 26호 지하1층 ,281.54,0232-7880-00,2016-01-07,6173,135-882,2016-01-07,위탁급식영업
위탁급식영업,2016-01-13,아워홈,서울특별시 강남구 테헤란로 152  22 23층 (역삼동),서울특별시 강남구 역삼동 737번지  ,461.6,0220-0510-33,2016-01-13,6236,135-924,2016-07-12,위탁급식영업
위탁급식영업,2016-01-20,스카이푸드 문과,서울특별시 강남구 역삼로 422  지하2층 (대치동  종로학원),서울특별시 강남구 대치동 909번지 2호  ,247.5,0254-1188-1,2016-01-20,6200,135-841,2016-01-20,위탁급식영업
위탁급식영업,2016-01-20,스카이푸드이과,서울특별시 강남구 역삼로 534  지하2층 (대치동  강남종로학원),서울특별시 강남구 대치동 966번지 강남종로학원 지하2층 ,144.41,0239-2188-1,2016-01-20,6187,135-848,2016-01-20,위탁급식영업
위탁급식영업,2016-02-05,(주)아이비푸드 스포월드,서울특별시 강남구 언주로107길 7  지상2층 (역삼동),서울특별시 강남구 역삼동 655번지 12호 지상2층 ,104.71,--,2016-02-05,6137,135-913,2016-02-05,위탁급식영업
위탁급식영업,2016-02-05,(주)소람 외식사업부,서울특별시 강남구 봉은사로 458  9층 (삼성동  덕림빌딩),서울특별시 강남구 삼성동 115번지  ,87.23,0704-8036-619,2016-02-05,6154,135-509,2016-02-05,위탁급식영업
위탁급식영업,2016-02-11,야놀자 구내식당,서울특별시 강남구 테헤란로 427  지하1층 (삼성동),서울특별시 강남구 삼성동 143번지 40호 지하1층 ,660,0233-9760-00,2016-04-11,6159,135-877,2016-02-11,위탁급식영업
위탁급식영업,2016-02-29,(주)엘에스씨푸드 개포고등학교점,서울특별시 강남구 개포로 402 (개포동  개포고등학교),서울특별시 강남구 개포동 173번지  ,758,0233-9204-55,2016-02-29,6324,135-800,2016-02-29,위탁급식영업
위탁급식영업,2016-02-29,가람푸드써비스(주)청담고등학교지점,서울특별시 강남구 압구정로 419 (압구정동  청담고등학교),서울특별시 강남구 압구정동 526번지 청담고등학교 ,222,0234-9682-34,2016-02-29,6009,135-906,2016-02-29,위탁급식영업
위탁급식영업,2016-02-29,가람푸드써비스(주)중산고지점,서울특별시 강남구 일원로14길 22 (일원동  중산고등학교),서울특별시 강남구 일원동 714번지 중산고등학교 ,835,0222-2621-61,2016-02-29,6350,135-942,2016-02-29,위탁급식영업
위탁급식영업,2016-03-11,SAC학생식당,서울특별시 강남구 테헤란로 505  3층 (삼성동  서울종합예술학교),서울특별시 강남구 삼성동 157번지 36호  ,120,0255-8808-5,2016-04-15,6168,135-880,2016-03-11,위탁급식영업
위탁급식영업,2016-03-24,(주)동원홈푸드 이디야점,서울특별시 강남구 논현로 636  지하1층 (논현동),서울특별시 강남구 논현동 221번지 17호  ,318.71,0258-9620-0,2016-03-24,6107,135-829,2016-03-24,위탁급식영업
위탁급식영업,2016-04-04,현대그린푸드 골프존 직원식당,서울특별시 강남구 영동대로 735  지하1층 (청담동  골프존타워서울),서울특별시 강남구 청담동 68번지 22호 골프존타워서울 지하1층 ,291.33,0315-2525-62,2016-04-04,6072,135-953,2016-04-04,위탁급식영업
위탁급식영업,2016-04-11,다원푸드스토리(주)드림한마음,서울특별시 강남구 삼성로 352  4층 (대치동),서울특별시 강남구 대치동 961번지  ,15,0325-1919-00,2016-04-11,6186,135-847,2016-04-11,위탁급식영업
위탁급식영업,2016-04-22,신세계푸드트리니티요양병원점,서울특별시 강남구 봉은사로 535  지하2층 (삼성동  트리니티 요양병원),서울특별시 강남구 삼성동 77번지 23호  ,41.55,02  -3397-6000,2016-04-22,6087,135-871,2016-04-22,위탁급식영업
위탁급식영업,2016-05-16,현대그린푸드 현대글로비스본사 직원식당,서울특별시 강남구 테헤란로 301  지상20층 (역삼동  삼정빌딩),서울특별시 강남구 역삼동 701번지 2호 삼정빌딩 지상20층 ,696.6,--,2016-05-16,6152,135-513,2016-05-16,위탁급식영업
위탁급식영업,2016-06-01,씨제이프레시웨이(주) 노보텔앰배서더점,서울특별시 강남구 봉은사로 130  지하3층 (역삼동),서울특별시 강남구 역삼동 603번지  ,250,0221-4960-85,2016-10-24,6124,135-907,2016-06-01,위탁급식영업
위탁급식영업,2016-06-30,(주)이씨엠디,서울특별시 강남구 남부순환로 3165  1층 (대치동),서울특별시 강남구 대치동 4번지 3호  ,302,0234-0075-58,2016-06-30,6332,135-834,2016-06-30,위탁급식영업
위탁급식영업,2016-08-12,가람푸드써비스(주) 영동고등학교지점,서울특별시 강남구 선릉로 742 (청담동  영동고등학교),서울특별시 강남구 청담동 23번지 4호  ,241,  02- 542-5071,2016-08-12,6065,135-950,2016-08-12,위탁급식영업
위탁급식영업,2016-10-20,송도푸드시스템 머큐어호텔,서울특별시 강남구 테헤란로25길 10  지하2층 (역삼동),서울특별시 강남구 역삼동 642번지  ,56,  02- 430-9593,2016-10-20,6132,135-910,2016-10-20,위탁급식영업
위탁급식영업,2016-12-02,주식회사 진주랑,서울특별시 강남구 테헤란로87길 22  지하1층 (삼성동  도심공항터미널),서울특별시 강남구 삼성동 159번지 6호  ,33.3, 031- 739-5580,2016-12-02,6164,135-090,2016-12-02,위탁급식영업
위탁급식영업,2016-12-05,SR 위탁급식,서울특별시 강남구 밤고개로 99  3층 (수서동  SRT수서역사),서울특별시 강남구 수서동 201번지 5호  ,167,--,2016-12-05,6369,135-220,2016-12-05,위탁급식영업
위탁급식영업,2017-01-12,(주)신세계푸드 리츠칼튼호텔,서울특별시 강남구 봉은사로 120  지하4층 (역삼동),서울특별시 강남구 역삼동 602번지  ,106.2,--,2017-01-12,6124,135-907,2017-01-12,위탁급식영업
위탁급식영업,2017-02-09,아라마크(주) 한전청운재지점,서울특별시 강남구 개포로 410  1층 (개포동),서울특별시 강남구 개포동 155번지  ,246.96,  02- 573-3942,2017-02-09,6324,135-800,2017-02-09,위탁급식영업
위탁급식영업,2017-02-23,니서푸드,서울특별시 강남구 테헤란로34길 17  1층 1호 (역삼동),서울특별시 강남구 역삼동 723번지  ,266.4,--,2017-02-23,6222,135-920,2017-02-23,위탁급식영업
